,mots,poids,serie
0,be,64598.58364338834,xfiles
1,you,31058.80134209464,xfiles
2,the,25085.04367106812,xfiles
3,to,21223.188434433738,xfiles
4,it,16440.95552671662,xfiles
5,that,15318.388694314703,xfiles
6,have,14294.457208832782,xfiles
7,mulder,14191.356931543858,xfiles
8,do,12633.11090948121,xfiles
9,what,12402.602648375992,xfiles
10,this,11090.586540026967,xfiles
11,we,10997.725729473168,xfiles
12,he,10478.365320800527,xfiles
13,of,9857.3028554995,xfiles
14,scully,9625.69496791192,xfiles
15,in,9427.277858808737,xfiles
16,and,9213.878049350746,xfiles
17,y1,8799.666897788855,xfiles
18,x2,8473.311311127674,xfiles
19,they,8199.707912577314,xfiles
20,x1,8197.381594236882,xfiles
21,719,8197.381594236882,xfiles
22,002,7747.528767614061,xfiles
23,479,7558.933444586552,xfiles
24,get,7243.347760947143,xfiles
25,know,7238.2209194066345,xfiles
26,y2,6956.64814103458,xfiles
27,here,6142.322278173193,xfiles
28,not,5751.4264155976,xfiles
29,for,5563.148736548921,xfiles
30,there,5551.693696519235,xfiles
31,your,5219.799886968304,xfiles
32,on,5189.0,xfiles
33,go,5081.973928952842,xfiles
34,she,5001.788362554271,xfiles
35,no,4947.803785358742,xfiles
36,with,4843.066855026414,xfiles
37,my,4578.947032240657,xfiles
38,think,4531.564095728442,xfiles
39,see,4318.7451059962905,xfiles
40,just,4274.136977811153,xfiles
41,would,4189.2734305383565,xfiles
42,about,3912.2899073444296,xfiles
43,his,3891.6201051767816,xfiles
44,say,3870.4314232147885,xfiles
45,can,3832.446635562776,xfiles
46,all,3816.1895743297396,xfiles
47,but,3665.0881551374896,xfiles
48,right,3609.7044515984335,xfiles
49,come,3566.5014270958827,xfiles
50,who,3522.727991948138,xfiles
51,at,3513.532822039412,xfiles
52,out,3421.7026357118775,xfiles
53,tell,3369.3930451864762,xfiles
54,like,3321.4487550076137,xfiles
55,man,3305.778841437376,xfiles
56,how,3301.3909209716057,xfiles
57,want,3234.287882407871,xfiles
58,doggett,3223.5433463754225,xfiles
59,if,3215.0473663190583,xfiles
60,well,3186.1583417897564,xfiles
61,from,3133.7293139529816,xfiles
62,find,3062.3400948660505,xfiles
63,gon,3058.583830693814,xfiles
64,agent,3034.1378288718056,xfiles
65,why,2891.934089934201,xfiles
66,so,2884.283146420679,xfiles
